Entrez ID	Symbol	Type	Entrez.ID
114883	OSBPL9	best inferred	114883
10721	POLQ	best inferred	10721
22794	CASC3	landmark	22794
22795	NID2	best inferred	22795
22796	COG2	landmark	22796
22797	TFEC	best inferred	22797
22798	LAMB4	best inferred	22798
219333	USP12	best inferred	219333
10799	RPP40	best inferred	10799
10791	VAMP5	best inferred	10791
10794	ZNF460	best inferred	10794
10793	ZNF273	best inferred	10793
10795	ZNF268	best inferred	10795
10797	MTHFD2	landmark	10797
221692	PHACTR1	best inferred	221692
256364	EML3	landmark	256364
93081	TEX30	best inferred	93081
199731	CADM4	best inferred	199731
9103	FCGR2C	best inferred	9103
9100	USP10	best inferred	9100
9101	USP8	best inferred	9101
9107	MTMR6	best inferred	9107
9104	RGN	best inferred	9104
57348	TTYH1	best inferred	57348
83637	ZMIZ2	best inferred	83637
57343	ZNF304	best inferred	57343
9113	LATS1	best inferred	9113
9114	ATP6V0D1	best inferred	9114
9111	NMI	best inferred	9111
9112	MTA1	landmark	9112
9118	INA	best inferred	9118
9110	MTMR4	best inferred	9110
84951	TNS4	best inferred	84951
9124	PDLIM1	landmark	9124
9125	CNOT9	best inferred	9125
9122	SLC16A4	best inferred	9122
9123	SLC16A3	best inferred	9123
9128	PRPF4	landmark	9128
9129	PRPF3	best inferred	9129
9126	SMC3	landmark	9126
9120	SLC16A6	best inferred	9120
9121	SLC16A5	best inferred	9121
83658	DYNLRB1	best inferred	83658
56034	PDGFC	best inferred	56034
84986	ARHGAP19	best inferred	84986
9119	KRT75	best inferred	9119
84981	MIR22HG	best inferred	84981
9135	RABEP1	best inferred	9135
9136	RRP9	best inferred	9136
9133	CCNB2	landmark	9133
9134	CCNE2	landmark	9134
9139	CBFA2T2	best inferred	9139
9138	ARHGEF1	best inferred	9138
9131	AIFM1	best inferred	9131
83638	C11orf68	best inferred	83638
9130	FAM50A	best inferred	9130
84975	MFSD5	best inferred	84975
9146	HGS	best inferred	9146
9147	NEMF	best inferred	9147
9144	SYNGR2	best inferred	9144
9145	SYNGR1	best inferred	9145
9148	NEURL1	best inferred	9148
9149	DYRK1B	best inferred	9149
9142	TMEM257	best inferred	9142
9143	SYNGR3	landmark	9143
57380	MRS2	best inferred	57380
9140	ATG12	best inferred	9140
9141	PDCD5	best inferred	9141
9158	FIBP	best inferred	9158
9156	EXO1	best inferred	9156
114818	KLHL29	best inferred	114818
114819	CROCCP3	best inferred	114819
9159	PCSK7	best inferred	9159
9150	CTDP1	best inferred	9150
57396	CLK4	best inferred	57396
56061	UBFD1	best inferred	56061
56062	KLHL4	best inferred	56062
83660	TLN2	best inferred	83660
9168	TMSB10	best inferred	9168
9169	SCAF11	best inferred	9169
9166	EBAG9	best inferred	9166
9167	COX7A2L	best inferred	9167
9162	DGKI	best inferred	9162
81034	SLC25A32	best inferred	81034
81035	COLEC12	best inferred	81035
83696	TRAPPC9	best inferred	83696
81030	ZBP1	best inferred	81030
81031	SLC2A10	best inferred	81031
81033	KCNH6	best inferred	81033
9179	AP4M1	best inferred	9179
9172	MYOM2	best inferred	9172
9170	LPAR2	landmark	9170
9175	MAP3K13	best inferred	9175
9173	IL1RL1	best inferred	9173
81029	WNT5B	best inferred	81029
22877	MLXIP	best inferred	22877
22878	TRAPPC8	best inferred	22878
9188	DDX21	best inferred	9188
22879	MON1B	best inferred	22879
9189	ZBED1	best inferred	9189
9183	ZW10	landmark	9183
22870	PPP6R1	best inferred	22870
9180	OSMR	best inferred	9180
22871	NLGN1	best inferred	22871
9181	ARHGEF2	landmark	9181
22872	SEC31A	best inferred	22872
22873	DZIP1	best inferred	22873
9187	SLC24A1	best inferred	9187
22874	PLEKHA6	best inferred	22874
9184	BUB3	best inferred	9184
22875	ENPP4	best inferred	22875
9185	REPS2	best inferred	9185
22876	INPP5F	best inferred	22876
10899	JTB	best inferred	10899
10898	CPSF4	landmark	10898
57502	NLGN4X	best inferred	57502
10891	PPARGC1A	best inferred	10891
57509	MTUS1	best inferred	57509
10893	MMP24	best inferred	10893
10892	MALT1	landmark	10892
10894	LYVE1	best inferred	10894
57506	MAVS	best inferred	57506
10897	YIF1A	best inferred	10897
22888	UBOX5	best inferred	22888
22889	KIAA0907	landmark	22889
730101	LOC730101	best inferred	730101
22880	MORC2	best inferred	22880
9194	SLC16A7	best inferred	9194
22881	ANKRD6	best inferred	22881
9191	DEDD	best inferred	9191
22882	ZHX2	best inferred	22882
22883	CLSTN1	landmark	22883
9197	SLC33A1	best inferred	9197
22884	WDR37	best inferred	22884
22885	ABLIM3	best inferred	22885
9196	KCNAB3	best inferred	9196
22887	FOXJ3	landmark	22887
57513	CASKIN2	best inferred	57513
57515	SERINC1	best inferred	57515
22856	CHSY1	best inferred	22856
113878	DTX2	best inferred	113878
22858	ICK	best inferred	22858
22859	ADGRL1	best inferred	22859
137886	UBXN2B	best inferred	137886
22850	ADNP2	best inferred	22850
22852	ANKRD26	best inferred	22852
22853	LMTK2	best inferred	22853
57523	NYNRIN	best inferred	57523
10871	CD300C	best inferred	10871
10873	ME3	best inferred	10873
10875	FGL2	best inferred	10875
10874	NMU	best inferred	10874
22866	CNKSR2	best inferred	22866
22868	FASTKD2	best inferred	22868
22869	ZNF510	best inferred	22869
22861	NLRP1	best inferred	22861
22862	FNDC3A	best inferred	22862
22863	ATG14	best inferred	22863
22864	R3HDM2	best inferred	22864
22865	SLITRK3	best inferred	22865
57535	KIAA1324	best inferred	57535
10882	C1QL1	best inferred	10882
10884	MRPS30	best inferred	10884
57538	ALPK3	best inferred	57538
10885	WDR3	best inferred	10885
22834	ZNF652	best inferred	22834
22835	ZFP30	best inferred	22835
22836	RHOBTB3	best inferred	22836
22837	COBLL1	best inferred	22837
22838	RNF44	best inferred	22838
22839	DLGAP4	best inferred	22839
22832	CEP162	best inferred	22832
10855	HPSE	best inferred	10855
