file	source	role	note
/ndata/home/khj/R/resources/AD_DEG/FL/FL_Astrocyte_Prefrontal_astrocyte_up.txt	/ndata/home/khj/R/Prefrontal_cortex_DEG/Astrocyte_up.txt	AD up-regulated DEG input file	FL_Astrocyte_Prefrontal_astrocyte; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/FL/FL_Astrocyte_Prefrontal_astrocyte_down.txt	/ndata/home/khj/R/Prefrontal_cortex_DEG/Astrocyte_down.txt	AD down-regulated DEG input file	FL_Astrocyte_Prefrontal_astrocyte; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/FL/FL_Oligodendrocyte_Prefrontal_oligodendrocyte_up.txt	/ndata/home/khj/R/Prefrontal_cortex_DEG/Oligocyte_up.txt	AD up-regulated DEG input file	FL_Oligodendrocyte_Prefrontal_oligodendrocyte; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/FL/FL_Oligodendrocyte_Prefrontal_oligodendrocyte_down.txt	/ndata/home/khj/R/Prefrontal_cortex_DEG/Oligocyte_down.txt	AD down-regulated DEG input file	FL_Oligodendrocyte_Prefrontal_oligodendrocyte; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/FL/FL_Oligodendrocyte_progenitor_cell_Prefrontal_OPC_up.txt	/ndata/home/khj/R/Prefrontal_cortex_DEG/Oligocyte_progenitor_cells_up.txt	AD up-regulated DEG input file	FL_Oligodendrocyte_progenitor_cell_Prefrontal_OPC; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/FL/FL_Oligodendrocyte_progenitor_cell_Prefrontal_OPC_down.txt	/ndata/home/khj/R/Prefrontal_cortex_DEG/Oligocyte_progenitor_cells_down.txt	AD down-regulated DEG input file	FL_Oligodendrocyte_progenitor_cell_Prefrontal_OPC; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/PL/PL_Bulk_microarray_Parietal_bulk_up.txt	/ndata/home/khj/R/Parietal_cortex_DEG/parietal_bulk_up.txt	AD up-regulated DEG input file	PL_Bulk_microarray_Parietal_bulk; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/PL/PL_Bulk_microarray_Parietal_bulk_down.txt	/ndata/home/khj/R/Parietal_cortex_DEG/parietal_bulk_down.txt	AD down-regulated DEG input file	PL_Bulk_microarray_Parietal_bulk; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/deg_manifest.tsv	00_collect_input_files_for_repo.R	AD DEG manifest	Standardized manifest of AD DEG up/down lists used as query signatures
/ndata/home/khj/R/resources/AD_input_DEG_up_down_count_summary.tsv	00_collect_input_files_for_repo.R	AD DEG count summary	Raw, CMap/BING-matched, and actually used up/down DEG counts
